school_id,school_name,avg_sat,avg_act,graduation_rate,acceptance_rate,student_faculty_ratio,tuition_cost,avg_aid,student_population,international_percentage,latitude,longitude,type,urban_rural,ranking
SCH001,School_1,1002,33,79,11,16.1,8380,17087,2431,19,45.429481,-103.48897,Private,Suburban,132
SCH002,School_2,1335,29,99,22,18.0,13711,8133,4219,10,46.653581,-112.144339,Public,Urban,93
SCH003,School_3,1170,31,94,49,21.6,13782,16958,3062,15,30.922612,-66.705878,Private,Urban,379
SCH004,School_4,1006,23,54,11,9.1,22434,5704,2179,30,48.588037,-98.213904,Charter,Rural,73
SCH005,School_5,971,23,82,74,5.2,25017,27808,736,5,27.517788,-84.39182,Public,Rural,411
SCH006,School_6,920,30,50,72,7.7,35707,7848,4943,18,29.050392,-116.707375,Public,Suburban,410
SCH007,School_7,1514,25,67,82,23.0,44110,21592,2040,36,28.605621,-96.350208,Public,Rural,403
SCH008,School_8,1021,19,81,26,22.5,22343,12975,4443,3,46.349743,-123.375334,Charter,Suburban,248
SCH009,School_9,1366,18,96,18,16.9,43827,6924,863,46,40.357314,-95.178148,Private,Rural,348
SCH010,School_10,1114,32,98,84,17.0,46652,27208,2868,3,27.802607,-68.122973,Charter,Rural,273
SCH011,School_11,1230,18,60,24,18.3,10655,20212,785,19,35.008085,-102.331804,Public,Rural,43
SCH012,School_12,1358,22,70,33,8.5,49859,19614,648,9,39.382451,-122.699235,Private,Urban,377
SCH013,School_13,987,33,75,47,23.3,20251,488,4537,23,26.086602,-123.173608,Charter,Urban,41
SCH014,School_14,1272,21,74,44,13.4,5526,7114,2266,34,46.060409,-102.108781,Public,Urban,170
SCH015,School_15,999,20,71,58,12.7,8224,25923,1512,25,44.090088,-115.558529,Public,Rural,434
SCH016,School_16,1563,34,76,78,15.4,16536,28257,3331,36,36.630169,-123.622226,Charter,Suburban,212
SCH017,School_17,1030,34,98,71,5.9,33541,15740,3007,37,48.178165,-80.383397,Charter,Suburban,493
SCH018,School_18,1561,29,62,69,8.3,18547,3173,2023,20,34.444024,-97.947142,Charter,Suburban,168
SCH019,School_19,1208,31,82,59,19.8,39531,29165,3285,39,48.602758,-107.934558,Public,Suburban,39
SCH020,School_20,1243,23,83,87,6.7,13712,1667,3056,38,40.698,-71.895092,Charter,Urban,369
SCH021,School_21,1391,20,90,84,17.1,43565,26213,4225,20,39.866782,-118.147801,Public,Urban,245
SCH022,School_22,1313,26,84,18,9.9,14208,4114,2101,9,28.148872,-68.600789,Charter,Rural,151
SCH023,School_23,1285,22,50,43,12.8,10109,3553,2908,37,46.048194,-106.475964,Public,Rural,111
SCH024,School_24,1091,34,70,85,10.8,40201,7761,840,45,34.687242,-72.584183,Public,Suburban,480
SCH025,School_25,1176,31,97,44,12.1,21967,1000,3317,3,28.055835,-89.42637,Private,Urban,436
SCH026,School_26,1060,20,55,10,19.4,34759,15638,2996,44,24.315188,-76.224266,Charter,Suburban,47
SCH027,School_27,1359,18,77,49,10.9,25172,25426,2225,19,37.993892,-66.943223,Charter,Rural,63
SCH028,School_28,1213,18,66,73,16.3,41935,17772,2189,16,37.184991,-107.984079,Public,Rural,225
SCH029,School_29,921,20,54,31,14.5,31589,5450,3767,6,41.983841,-68.293006,Public,Suburban,366
SCH030,School_30,1152,35,80,69,18.3,35015,3712,4906,3,46.256451,-102.020568,Public,Rural,69
SCH031,School_31,1460,27,54,73,23.7,34009,1367,761,28,25.985165,-102.254798,Private,Suburban,299
SCH032,School_32,1374,20,87,81,19.7,22773,8189,1942,13,42.287412,-104.917161,Private,Urban,432
SCH033,School_33,958,25,52,20,9.3,46125,9013,905,2,28.685299,-93.056951,Public,Suburban,290
SCH034,School_34,1410,31,72,23,5.6,31143,16838,2690,23,45.454426,-115.905442,Charter,Urban,296
SCH035,School_35,1581,35,86,69,10.2,11154,26200,4937,36,44.476588,-92.331022,Charter,Urban,203
SCH036,School_36,1375,32,86,39,16.9,26804,19156,743,15,37.519844,-93.039416,Private,Rural,61
SCH037,School_37,1599,19,59,44,6.0,46688,3726,4607,3,41.75607,-80.047793,Private,Rural,434
SCH038,School_38,1089,27,59,46,14.9,25581,23616,1060,23,31.858753,-75.814652,Public,Rural,451
SCH039,School_39,1586,19,68,14,16.9,35087,27723,4637,33,35.779197,-99.01396,Charter,Suburban,318
SCH040,School_40,1462,34,66,87,11.7,37981,28665,3225,29,44.540922,-107.162338,Public,Suburban,314
SCH041,School_41,1466,25,70,35,20.4,8762,4806,1093,17,35.48163,-109.699241,Private,Rural,161
SCH042,School_42,1143,18,63,71,7.1,14768,2190,2326,18,32.944957,-113.517194,Charter,Suburban,331
SCH043,School_43,1404,26,58,13,6.5,48408,9108,3729,30,36.355311,-121.598793,Charter,Rural,16
SCH044,School_44,1030,28,95,51,19.6,44499,12178,3787,18,44.706231,-104.795569,Private,Suburban,338
SCH045,School_45,1384,33,50,27,14.9,43559,2875,4573,48,32.380201,-109.055386,Public,Urban,94
SCH046,School_46,1546,24,94,49,18.8,13783,5592,633,45,28.34404,-67.981374,Public,Urban,304
SCH047,School_47,920,27,62,81,13.7,34781,17824,3638,18,41.800351,-92.095179,Charter,Rural,138
SCH048,School_48,1066,20,53,48,9.9,35811,12592,4419,21,44.649455,-104.510655,Private,Suburban,338
SCH049,School_49,1173,35,50,23,21.4,40488,8927,572,23,26.515937,-90.752412,Charter,Suburban,38
SCH050,School_50,1287,30,98,41,21.0,13905,28144,4994,44,29.996853,-116.787395,Private,Urban,127
SCH051,School_51,1500,24,89,60,18.9,14127,22443,4725,11,27.5493,-98.801419,Public,Urban,275
SCH052,School_52,1215,21,81,47,10.4,27431,14437,3478,29,32.698535,-88.052175,Private,Rural,164
